GlobalEventID,actor_key,actor_name,month,article_actor_weight,conflict_relevance,event_context,event_modality,matched_actor_role,event_time_relation,any_matched_actor_mentioned,any_physical_violence_mentioned,any_fatalities_mentioned,any_injuries_mentioned,any_weapon_mentioned,physical_violence_occurred,fatalities_present,injuries_present,weapon_use_class,multiple_events_mentioned,main_story_confidence,date
897873303,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,no,yes,yes,yes,no,heavy,no,high,2020-01-09
897942728,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,yes,yes,yes,yes,yes,heavy,yes,high,2020-01-09
897975432,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,yes,yes,yes,yes,yes,mixed,yes,high,2020-01-09
904691037,303,Taleban,2020-01,1.0,direct,CBT,realized,both,current_or_recent,yes,yes,yes,no,no,yes,yes,no,none_used,yes,medium,2020-01-09
904693119,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,no,no,yes,yes,no,unclear,yes,medium,2020-01-09
897757526,group:farc_bloc,FARC / FARC dissidents,2020-01,1.0,background_or_context,POL,realized,not_applicable,current_or_recent,no,no,no,no,no,no,no,no,none_used,no,low,2020-01-09
898072826,209,Hamas,2020-01,1.0,direct,POL,realized,mentioned_only,historical_background,yes,no,no,no,no,no,no,no,none_used,no,low,2020-01-10
898117614,209,Hamas,2020-01,1.0,background_or_context,POL,realized,mentioned_only,historical_background,yes,yes,no,no,yes,no,no,no,none_used,yes,medium,2020-01-10
898186666,209,Hamas,2020-01,1.0,background_or_context,POL,realized,mentioned_only,historical_background,yes,no,no,no,no,no,no,no,none_used,yes,high,2020-01-10
898190778,209,Hamas,2020-01,1.0,background_or_context,POL,realized,mentioned_only,historical_background,yes,yes,yes,yes,yes,no,no,no,none_used,yes,medium,2020-01-10
898195081,209,Hamas,2020-01,1.0,background_or_context,POL,realized,mentioned_only,current_or_recent,yes,yes,no,no,yes,no,no,no,none_used,yes,high,2020-01-10
897984473,303,Taleban,2020-01,1.0,direct,POL,realized,perpetrator,current_or_recent,yes,yes,yes,no,yes,yes,yes,no,none_used,yes,high,2020-01-10
898005054,303,Taleban,2020-01,1.0,background_or_context,POL,realized,mentioned_only,historical_background,yes,yes,no,unclear,no,no,no,no,none_used,yes,high,2020-01-10
898021263,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,no,yes,yes,yes,no,heavy,yes,high,2020-01-10
898023053,303,Taleban,2020-01,1.0,background_or_context,POL,realized,mentioned_only,historical_background,yes,yes,no,no,yes,no,no,no,none_used,no,medium,2020-01-10
898029323,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,no,yes,yes,yes,no,heavy,yes,high,2020-01-10
898053547,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,unclear,yes,yes,yes,unclear,heavy,yes,high,2020-01-10
898061293,303,Taleban,2020-01,1.0,direct,CBT,realized,mentioned_only,current_or_recent,yes,yes,yes,no,no,yes,no,no,none_used,yes,medium,2020-01-10
898079124,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,unclear,yes,yes,yes,unclear,heavy,yes,high,2020-01-10
898084017,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,no,yes,yes,yes,no,heavy,no,high,2020-01-10
898090084,303,Taleban,2020-01,1.0,background_or_context,CIV,realized,mentioned_only,historical_background,yes,yes,unclear,yes,unclear,no,no,no,none_used,yes,low,2020-01-10
898138868,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,yes,yes,yes,yes,yes,heavy,yes,high,2020-01-10
898144366,303,Taleban,2020-01,1.0,direct,POL,realized,perpetrator,historical_background,yes,yes,yes,no,no,no,no,no,none_used,yes,medium,2020-01-10
898160279,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,yes,yes,yes,yes,yes,salw,yes,medium,2020-01-10
898186880,303,Taleban,2020-01,1.0,direct,POL,realized,perpetrator,current_or_recent,yes,yes,no,no,unclear,no,no,no,none_used,yes,medium,2020-01-10
898197307,303,Taleban,2020-01,1.0,background_or_context,not_applicable,not_applicable,mentioned_only,historical_background,yes,no,no,no,unclear,no,no,no,unclear,yes,high,2020-01-10
898204624,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,yes,yes,yes,yes,yes,salw,yes,low,2020-01-10
898212492,303,Taleban,2020-01,1.0,background_or_context,not_applicable,not_applicable,mentioned_only,historical_background,no,yes,no,no,yes,no,no,no,none_used,yes,high,2020-01-10
898217902,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,yes,yes,yes,unclear,yes,heavy,yes,high,2020-01-10
898221761,303,Taleban,2020-01,1.0,direct,CBT,realized,mentioned_only,current_or_recent,yes,yes,yes,yes,yes,yes,no,no,heavy,yes,medium,2020-01-10
898226815,303,Taleban,2020-01,1.0,direct,CBT,realized,both,current_or_recent,yes,yes,yes,yes,yes,yes,yes,yes,mixed,yes,high,2020-01-10
898012747,group:farc_bloc,FARC / FARC dissidents,2020-01,1.0,direct,CRM,realized,perpetrator,historical_background,yes,yes,yes,no,no,yes,yes,no,none_used,yes,high,2020-01-10
898238691,303,Taleban,2020-01,1.0,background_or_context,POL,realized,mentioned_only,historical_background,yes,yes,no,no,no,no,no,no,none_used,yes,high,2020-01-11
898286519,303,Taleban,2020-01,1.0,direct,POL,realized,mentioned_only,current_or_recent,yes,yes,yes,unclear,unclear,no,no,no,unclear,yes,medium,2020-01-11
898316769,303,Taleban,2020-01,1.0,background_or_context,CIV,realized,mentioned_only,historical_background,yes,yes,yes,unclear,yes,no,no,no,none_used,yes,medium,2020-01-11
898319498,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,unclear,yes,no,no,unclear,not_applicable,yes,low,2020-01-11
898330956,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,no,yes,yes,yes,no,mixed,yes,high,2020-01-11
898331317,303,Taleban,2020-01,1.0,background_or_context,POL,realized,mentioned_only,current_or_recent,no,yes,no,unclear,no,no,no,unclear,none_used,no,low,2020-01-11
898331646,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,yes,yes,yes,yes,yes,salw,yes,high,2020-01-11
898333219,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,yes,yes,yes,yes,yes,heavy,yes,high,2020-01-11
898338384,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,yes,yes,yes,yes,yes,salw,yes,medium,2020-01-11
898338385,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,yes,yes,yes,yes,yes,salw,no,high,2020-01-11
898344032,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,yes,yes,yes,yes,yes,heavy,yes,high,2020-01-11
898362152,303,Taleban,2020-01,1.0,irrelevant,not_applicable,not_applicable,not_applicable,unclear,no,yes,yes,yes,no,not_applicable,not_applicable,not_applicable,not_applicable,unclear,unclear,2020-01-11
898366451,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,yes,yes,yes,yes,yes,salw,no,high,2020-01-11
898368704,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,yes,yes,yes,yes,yes,salw,yes,high,2020-01-11
898373400,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,yes,yes,yes,yes,yes,salw,no,high,2020-01-11
898377538,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,yes,yes,yes,yes,yes,salw,yes,high,2020-01-11
898380467,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,yes,yes,yes,yes,yes,salw,yes,high,2020-01-11
898383958,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,yes,yes,yes,yes,yes,salw,yes,high,2020-01-11
898392263,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,yes,yes,yes,yes,yes,salw,yes,high,2020-01-11
898395338,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,yes,yes,yes,yes,yes,salw,yes,high,2020-01-11
898400600,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,yes,yes,yes,yes,yes,salw,yes,high,2020-01-11
898405296,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,yes,yes,yes,yes,yes,salw,yes,high,2020-01-11
898410758,303,Taleban,2020-01,1.0,direct,CBT,realized,both,current_or_recent,yes,yes,yes,yes,unclear,yes,yes,yes,unclear,no,high,2020-01-11
898412707,303,Taleban,2020-01,1.0,direct,CBT,realized,both,current_or_recent,yes,yes,yes,yes,yes,yes,yes,yes,mixed,yes,medium,2020-01-11
898280803,group:farc_bloc,FARC / FARC dissidents,2020-01,1.0,direct,CBT,realized,unclear,current_or_recent,yes,yes,yes,yes,yes,yes,no,yes,mixed,yes,medium,2020-01-11
898288094,group:farc_bloc,FARC / FARC dissidents,2020-01,1.0,direct,CBT,realized,unclear,current_or_recent,yes,yes,yes,yes,yes,yes,no,yes,mixed,yes,medium,2020-01-11
898299315,group:farc_bloc,FARC / FARC dissidents,2020-01,1.0,background_or_context,POL,realized,mentioned_only,historical_background,yes,yes,yes,no,no,no,no,no,none_used,yes,high,2020-01-11
898433920,209,Hamas,2020-01,1.0,background_or_context,POL,realized,mentioned_only,historical_background,yes,yes,no,no,yes,no,no,no,none_used,yes,high,2020-01-12
898520633,209,Hamas,2020-01,1.0,background_or_context,POL,realized,mentioned_only,historical_background,yes,yes,no,no,yes,no,no,no,none_used,no,high,2020-01-12
898416165,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,yes,yes,yes,yes,yes,salw,yes,high,2020-01-12
898416166,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,yes,yes,yes,yes,yes,salw,yes,high,2020-01-12
898428289,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,yes,yes,yes,yes,yes,salw,yes,high,2020-01-12
898436670,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,yes,yes,yes,yes,yes,salw,yes,high,2020-01-12
898466847,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,yes,yes,yes,yes,yes,salw,yes,high,2020-01-12
898492147,303,Taleban,2020-01,1.0,background_or_context,POL,realized,mentioned_only,current_or_recent,yes,yes,no,no,yes,no,no,no,none_used,yes,medium,2020-01-12
898497863,303,Taleban,2020-01,1.0,irrelevant,not_applicable,not_applicable,not_applicable,unclear,no,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,unclear,unclear,2020-01-12
898511276,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,yes,yes,yes,yes,yes,salw,yes,high,2020-01-12
898518189,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,unclear,yes,yes,yes,unclear,heavy,no,high,2020-01-12
898529303,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,yes,yes,yes,yes,yes,salw,yes,high,2020-01-12
898558834,303,Taleban,2020-01,1.0,direct,CIV,realized,perpetrator,current_or_recent,yes,yes,yes,no,yes,yes,yes,no,salw,yes,high,2020-01-12
898559249,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,no,yes,yes,yes,no,heavy,yes,high,2020-01-12
898570519,303,Taleban,2020-01,1.0,direct,CBT,realized,mentioned_only,current_or_recent,unclear,yes,yes,no,yes,yes,yes,no,salw,no,high,2020-01-12
898571931,303,Taleban,2020-01,1.0,direct,CBT,realized,mentioned_only,historical_background,yes,yes,no,unclear,yes,no,no,unclear,none_used,yes,low,2020-01-12
898528485,group:farc_bloc,FARC / FARC dissidents,2020-01,1.0,direct,OPR,realized,perpetrator,current_or_recent,yes,yes,yes,unclear,yes,yes,yes,unclear,salw,no,high,2020-01-12
898549714,group:farc_bloc,FARC / FARC dissidents,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,no,no,yes,yes,no,unclear,no,medium,2020-01-12
898565308,group:farc_bloc,FARC / FARC dissidents,2020-01,1.0,direct,OPR,realized,target,current_or_recent,yes,yes,yes,unclear,yes,yes,yes,unclear,salw,yes,high,2020-01-12
898568159,group:farc_bloc,FARC / FARC dissidents,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,no,no,yes,yes,no,unclear,yes,medium,2020-01-12
898575972,group:farc_bloc,FARC / FARC dissidents,2020-01,1.0,direct,CBT,realized,target,current_or_recent,yes,yes,yes,unclear,yes,yes,yes,unclear,salw,yes,high,2020-01-12
898761892,group:farc_bloc,FARC / FARC dissidents,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,no,yes,yes,yes,no,salw,yes,high,2020-01-12
898646176,209,Hamas,2020-01,1.0,background_or_context,POL,realized,mentioned_only,historical_background,yes,yes,no,no,yes,no,no,no,none_used,yes,high,2020-01-13
898715930,209,Hamas,2020-01,1.0,direct,POL,realized,perpetrator,current_or_recent,yes,yes,no,no,no,yes,no,no,none_used,yes,high,2020-01-13
898719091,209,Hamas,2020-01,1.0,direct,POL,realized,both,future_or_planned,yes,yes,no,no,yes,no,no,no,none_used,yes,medium,2020-01-13
898573532,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,yes,yes,yes,yes,yes,salw,yes,high,2020-01-13
898606525,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,yes,yes,yes,yes,yes,salw,yes,high,2020-01-13
898622294,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,yes,yes,yes,yes,yes,salw,yes,high,2020-01-13
898639037,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,yes,yes,yes,yes,yes,salw,yes,high,2020-01-13
898644160,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,no,yes,no,yes,no,yes,unclear,no,high,2020-01-13
898699528,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,yes,yes,yes,yes,yes,salw,yes,high,2020-01-13
898705157,303,Taleban,2020-01,1.0,background_or_context,POL,realized,mentioned_only,historical_background,no,yes,yes,yes,yes,no,no,no,none_used,yes,low,2020-01-13
963866266,303,Taleban,2020-01,1.0,direct,POL,realized,perpetrator,historical_background,yes,yes,yes,unclear,yes,no,no,no,none_used,yes,medium,2020-01-13
898585524,group:farc_bloc,FARC / FARC dissidents,2020-01,1.0,direct,CBT,realized,target,current_or_recent,yes,yes,yes,no,unclear,yes,yes,no,unclear,yes,medium,2020-01-13
898585527,group:farc_bloc,FARC / FARC dissidents,2020-01,1.0,direct,OPR,realized,perpetrator,current_or_recent,yes,yes,no,no,unclear,yes,no,no,unclear,yes,medium,2020-01-13
898587551,group:farc_bloc,FARC / FARC dissidents,2020-01,1.0,direct,OPR,realized,perpetrator,current_or_recent,yes,yes,yes,unclear,yes,yes,yes,unclear,salw,yes,high,2020-01-13
898600309,group:farc_bloc,FARC / FARC dissidents,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,unclear,yes,yes,yes,unclear,salw,yes,high,2020-01-13
898602337,group:farc_bloc,FARC / FARC dissidents,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,no,yes,yes,yes,no,salw,yes,high,2020-01-13
898608911,group:farc_bloc,FARC / FARC dissidents,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,unclear,yes,yes,yes,unclear,salw,yes,high,2020-01-13
898643067,group:farc_bloc,FARC / FARC dissidents,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,no,no,yes,yes,no,unclear,yes,medium,2020-01-13
898781470,group:farc_bloc,FARC / FARC dissidents,2020-01,1.0,direct,POL,realized,mentioned_only,current_or_recent,yes,yes,yes,no,no,no,no,no,none_used,yes,medium,2020-01-13
