Assigned_Hiwi,Research_done,Selfcheck_done,Crosscheck_done,Government_side,Do_NSA_specific_research,NSA_UCDP_Name_short,NSA_Name_long,NSA_UCDP_ID,Earliest_year_of_NSA,Latest_year_of_NSA,UCDP_Conflict_ID,UCDP_Dyad_ID,Government_UCDP_ID,Total_battle_deaths_of_country,Total_battle_deaths_of_NSA,Total_bd_of_country_over_median,Order_of_groups_to_do,Comment_NSA_Data_Collection,NSA_Entries,NSA_Entries_Pistols,NSA_Entries_Rifles,NSA_Entries_Machine_guns,NSA_Entries_Heavy_machine_guns,NSA_Entries_Cannon,NSA_Entries_Mortars,NSA_Entries_Missiles,NSA_Entries_Explosives,NSA_Entries_Landmines,NSA_Entries_Tanks,NSA_Entries_Aircraft,NSA_Entries_Artillery,NSA_Entries_Armoured_vehicles,NSA_Entries_Ships
Alex,no,no,no,Government of Russia (Soviet Union),yes,Republic of Armenia,,330.0,1990.0,1991.0,376.0,807.0,57,21958.0,269.0,yes,34.0,indistinguinshable from modern state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex,yes,yes,no,Government of Russia (Soviet Union),yes,Wahhabi movement of the Buinaksk district,,358.0,1999.0,1999.0,414.0,870.0,57,21958.0,85.0,yes,35.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex,yes,yes,no,Government of Georgia,yes,National Guard and Mkhedrioni,,332.0,1991.0,1991.0,380.0,812.0,63,3234.0,52.0,yes,36.0,,50.0,8.0,11.0,8.0,0.0,0.0,2.0,7.0,8.0,1.0,0.0,0.0,1.0,1.0,0.0
Alex,yes,yes,no,Government of Georgia,yes,Republic of Abkhazia,,342.0,1992.0,1993.0,392.0,839.0,63,3234.0,2177.0,yes,37.0,,38.0,1.0,2.0,4.0,0.0,1.0,2.0,7.0,2.0,0.0,6.0,0.0,6.0,3.0,1.0
Alex,yes,yes,no,Government of Georgia,yes,Republic of South Ossetia,Respublika Yuzhnaya Osetiya,343.0,1992.0,2008.0,393.0,840.0,63,3234.0,782.0,yes,38.0,,43.0,1.0,4.0,0.0,1.0,4.0,4.0,7.0,0.0,0.0,7.0,1.0,6.0,5.0,0.0
Alex,yes,yes,no,Government of Georgia,yes,Zviadists,,333.0,1992.0,1993.0,380.0,813.0,63,3234.0,223.0,yes,39.0,,35.0,0.0,3.0,1.0,1.0,0.0,0.0,5.0,3.0,0.0,9.0,0.0,2.0,6.0,0.0
Alex,yes,yes,no,Government of Rumania,yes,Military faction (forces of Nicolae Ceausescu),,6137.0,1989.0,1989.0,370.0,14471.0,56,249.0,53.0,no,40.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Alex,yes,yes,no,Government of Rumania,yes,NSF,National Salvation Front / Frontul Salvării Naţionale,329.0,1989.0,1989.0,370.0,798.0,56,249.0,196.0,no,41.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex,yes,yes,no,"Government of Macedonia, FYR",yes,UCK,"Ushtria Clirimtare Kombëtare /Osloboditelna Narodna Armija / ONA; National Liberation Army, NLA",361.0,2001.0,2001.0,417.0,877.0,47,72.0,72.0,no,42.0,,169.0,7.0,37.0,26.0,6.0,2.0,17.0,29.0,23.0,12.0,0.0,0.0,2.0,0.0,0.0
Camelia,yes,yes,yes,Government of China,yes,ETIM,East Turkistan Islamic Movement,1156.0,2008.0,2008.0,11349.0,11990.0,135,36.0,36.0,no,43.0,,29.0,2.0,6.0,3.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
Camelia,yes,yes,yes,Government of Malaysia,yes,Sultanate of Sulu,,4006.0,2013.0,2013.0,11487.0,12139.0,152,70.0,70.0,no,44.0,no results found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Camelia,no,no,no,Government of Syria,no,IS,,234.0,2004.0,2018.0,13604.0,14620.0,118,283820.0,127471.0,yes,45.0,,121.0,0.0,8.0,2.0,1.0,0.0,3.0,38.0,7.0,2.0,6.0,8.0,24.0,7.0,0.0
Camelia,yes,yes,yes,Government of Syria,yes,PYD,"Democratic Union Party, Partiya Yekîtiya Demokrat",4163.0,2012.0,2015.0,13042.0,13821.0,118,283820.0,124.0,yes,46.0,,38.0,1.0,6.0,3.0,2.0,0.0,3.0,9.0,3.0,0.0,1.0,1.0,3.0,3.0,0.0
Camelia,yes,yes,yes,Government of Syria,yes,SDF,Syrian Democratic Forces,6288.0,2016.0,2018.0,13809.0,14784.0,118,283820.0,188.0,yes,47.0,,44.0,3.0,7.0,3.0,1.0,0.0,3.0,8.0,4.0,3.0,1.0,0.0,1.0,2.0,0.0
Camelia,yes,yes,yes,Government of Syria,yes,Syrian insurgents,,4456.0,2011.0,2018.0,299.0,11973.0,118,283820.0,242041.0,yes,48.0,,286.0,8.0,54.0,28.0,7.0,6.0,17.0,77.0,39.0,1.0,10.0,0.0,11.0,12.0,0.0
Camelia,yes,yes,yes,Government of Indonesia,yes,Fretilin,CNRT,290.0,1992.0,1999.0,330.0,720.0,155,3534.0,146.0,yes,49.0,no results found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Camelia,yes,yes,yes,Government of Indonesia,yes,GAM,Gerkan Aceh Merdeka: Free Aceh Movement,327.0,1990.0,2005.0,366.0,794.0,155,3534.0,3363.0,yes,50.0,,90.0,12.0,34.0,1.0,1.0,0.0,3.0,15.0,13.0,1.0,0.0,0.0,1.0,0.0,0.0
Camelia,yes,yes,yes,Government of Indonesia,yes,OPM,Organisasi Papua Merdeka: Organization for a Free Papua: Free Papua Movement,266.0,2018.0,2018.0,291.0,628.0,155,3534.0,25.0,yes,51.0,,9.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Camelia,yes,yes,yes,Government of Myanmar (Burma),yes,AA,Arakan Army,3051.0,2018.0,2018.0,223.0,11387.0,144,11101.0,27.0,yes,52.0,Armed Wing of ULA,9.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Camelia,yes,yes,yes,Government of Myanmar (Burma),yes,ABSDF,All Burma Students’ Democratic Front,185.0,1990.0,1994.0,222.0,434.0,144,11101.0,100.0,yes,53.0,,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Camelia,yes,yes,yes,Government of Myanmar (Burma),yes,ARSA,Arakan Rohingya Salvation Army,6692.0,2016.0,2017.0,223.0,15069.0,144,11101.0,477.0,yes,54.0,,14.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Camelia,yes,yes,yes,Government of Myanmar (Burma),yes,BMA,Beik Mon Army,191.0,1996.0,1996.0,224.0,446.0,144,11101.0,80.0,yes,55.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Camelia,yes,yes,yes,Government of Myanmar (Burma),yes,DKBA 5,democratic Karen Buddhist Army Brigade 5,1107.0,2010.0,2013.0,221.0,430.0,144,11101.0,214.0,yes,56.0,,5.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Camelia,yes,yes,yes,Government of Myanmar (Burma),yes,God's Army,,181.0,2000.0,2000.0,221.0,429.0,144,11101.0,46.0,yes,57.0,,11.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
Camelia,yes,yes,yes,Government of Myanmar (Burma),yes,KIO,"Kachin Independence Organization,  Kachin Independence Army (KIA)",201.0,1989.0,2018.0,231.0,461.0,144,11101.0,1631.0,yes,58.0,,69.0,2.0,11.0,5.0,1.0,0.0,14.0,9.0,5.0,8.0,0.0,0.0,6.0,0.0,0.0
Camelia,yes,yes,yes,Government of Myanmar (Burma),yes,KNPP,Karenni National Progressive Party,225.0,1992.0,2005.0,253.0,511.0,144,11101.0,563.0,yes,59.0,,12.0,0.0,2.0,1.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Camelia,yes,yes,yes,Government of Myanmar (Burma),yes,KNU,Karen National Union,180.0,1989.0,2011.0,221.0,428.0,144,11101.0,4222.0,yes,60.0,,16.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
Camelia,yes,yes,yes,Government of Myanmar (Burma),yes,MNDAA,"Myanmar Nationalities Democratic Alliance Arm,  Kokang Democratic Party, KDP",880.0,2009.0,2017.0,439.0,906.0,144,11101.0,491.0,yes,61.0,,7.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Camelia,yes,yes,yes,Government of Myanmar (Burma),yes,MTA,Mong Tai Army,255.0,1993.0,1995.0,264.0,549.0,144,11101.0,830.0,yes,62.0,,49.0,12.0,22.0,0.0,0.0,0.0,3.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
Camelia,yes,yes,yes,Government of Myanmar (Burma),yes,NMSP,New Mon State Party,190.0,1990.0,1990.0,224.0,445.0,144,11101.0,112.0,yes,63.0,,6.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Camelia,yes,yes,yes,Government of Myanmar (Burma),yes,NSCN-K,National Socialist Council of Nagaland - Khaplang faction,224.0,1991.0,2007.0,11475.0,11018.0,144,11101.0,633.0,yes,64.0,,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Camelia,yes,yes,yes,Government of Myanmar (Burma),yes,PSLF,Palaung State Liberation Front,5965.0,2013.0,2018.0,222.0,14273.0,144,11101.0,261.0,yes,65.0,,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Camelia,yes,yes,yes,Government of Myanmar (Burma),yes,RCSS,Restoration Council of the Shan State,256.0,1996.0,2013.0,264.0,550.0,144,11101.0,881.0,yes,66.0,no results found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Camelia,yes,yes,yes,Government of Myanmar (Burma),yes,RSO,Rohingya Solidarity Organization,187.0,1991.0,1994.0,223.0,442.0,144,11101.0,134.0,yes,67.0,no results found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Camelia,yes,yes,yes,Government of Myanmar (Burma),yes,SSPP,"Shan State Progress Party, Shan State Army- North, SSA-N",1122.0,2011.0,2015.0,264.0,11972.0,144,11101.0,269.0,yes,68.0,,21.0,1.0,7.0,2.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0
Camelia,yes,yes,yes,Government of Myanmar (Burma),yes,UWSA,"The United Wa State Army, United Wa State Party, ‘Red Wa’",364.0,1997.0,1997.0,422.0,887.0,144,11101.0,130.0,yes,69.0,,55.0,4.0,18.0,1.0,4.0,0.0,3.0,11.0,3.0,2.0,0.0,2.0,5.0,1.0,0.0
Camelia,yes,yes,yes,Government of Philippines,yes,al-Harakat al-Islamiyah,,6998.0,2016.0,2016.0,308.0,15474.0,154,17772.0,57.0,yes,70.0,no results found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Camelia,yes,yes,yes,Government of Philippines,yes,ASG,Abu Sayyaf Group,277.0,1993.0,2018.0,308.0,658.0,154,17772.0,3049.0,yes,71.0,,120.0,12.0,39.0,9.0,1.0,0.0,4.0,25.0,19.0,6.0,0.0,0.0,0.0,0.0,0.0
Camelia,yes,yes,yes,Government of Philippines,yes,BIFM,"Bangsamoro Islamic Freedom Movement ,  Bangsamoro Islamic Freedom Fighters (BIFF) ",1146.0,2012.0,2016.0,308.0,11246.0,154,17772.0,484.0,yes,72.0,,87.0,8.0,27.0,7.0,0.0,0.0,3.0,18.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0
Camelia,yes,yes,yes,Government of Philippines,yes,BIFM-K,Bangsamoro Islamic Freedom Movement - Karialan faction,6999.0,2018.0,2018.0,308.0,15475.0,154,17772.0,27.0,yes,73.0,,32.0,4.0,13.0,2.0,0.0,0.0,3.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Camelia,yes,yes,yes,Government of Philippines,yes,CPP,"Communist Party of the Philippines, New People’s Army (NPA)",169.0,1989.0,2018.0,209.0,411.0,154,17772.0,7970.0,yes,74.0,,213.0,36.0,95.0,15.0,0.0,0.0,2.0,16.0,24.0,19.0,0.0,0.0,0.0,0.0,0.0
Camelia,no,no,no,Government of Philippines,no,IS,,234.0,2004.0,2018.0,14275.0,15473.0,154,17772.0,127471.0,yes,75.0,,121.0,0.0,8.0,2.0,1.0,0.0,3.0,38.0,7.0,2.0,6.0,8.0,24.0,7.0,0.0
Camelia,yes,yes,yes,Government of Philippines,yes,Maute group,,6578.0,2016.0,2016.0,308.0,14913.0,154,17772.0,30.0,yes,76.0,,64.0,11.0,16.0,4.0,0.0,0.0,2.0,9.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0
Camelia,yes,yes,yes,Government of Philippines,yes,MILF,Moro Islamic Liberation Front ,276.0,1990.0,2015.0,308.0,657.0,154,17772.0,3552.0,yes,77.0,,83.0,5.0,19.0,11.0,0.0,0.0,6.0,26.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0
Camelia,yes,yes,yes,Government of Philippines,yes,"Military faction (forces of Honasan, Abenina & Zumel)",,170.0,1989.0,1990.0,209.0,412.0,154,17772.0,122.0,yes,78.0,no results found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Camelia,yes,yes,yes,Government of Philippines,yes,MNLF,Moro National Liberation Front ,275.0,1989.0,1993.0,308.0,656.0,154,17772.0,303.0,yes,79.0,,20.0,3.0,7.0,4.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Camelia,yes,yes,yes,Government of Philippines,yes,MNLF - HM,Moro National Liberation Front – Habier Malik faction,279.0,2007.0,2007.0,308.0,660.0,154,17772.0,25.0,yes,80.0,,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Camelia,yes,yes,yes,Government of Philippines,yes,MNLF - NM,"Moro National Liberation Front - Nur Misuari faction; alternatively MNLF Misuari Breakaway Group, MNLF-MBG",278.0,2001.0,2013.0,308.0,659.0,154,17772.0,467.0,yes,81.0,,16.0,1.0,6.0,1.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
Camelia,no,no,no,Government of Jordan,no,IS,,234.0,2004.0,2018.0,13886.0,14741.0,120,34.0,127471.0,no,82.0,,121.0,0.0,8.0,2.0,1.0,0.0,3.0,38.0,7.0,2.0,6.0,8.0,24.0,7.0,0.0
Camelia,yes,yes,yes,Government of Algeria,yes,AIS,Islamic Salvation Army,537.0,1992.0,1997.0,386.0,828.0,109,18883.0,2468.0,yes,83.0,,12.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Camelia,yes,yes,yes,Government of Algeria,yes,AQIM,"al-Qaida Organization in the Islamic Maghreb, GSPC",539.0,1999.0,2018.0,386.0,830.0,109,18883.0,6734.0,yes,84.0,,109.0,5.0,29.0,12.0,1.0,2.0,2.0,31.0,18.0,3.0,0.0,0.0,1.0,0.0,0.0
Camelia,yes,yes,yes,Government of Algeria,yes,GIA,"Groupe Islamique Armé, Armed Islamic Group",538.0,1993.0,2003.0,386.0,829.0,109,18883.0,10216.0,yes,85.0,,36.0,3.0,10.0,3.0,1.0,0.0,2.0,3.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0
Camelia,no,no,no,Government of Algeria,no,IS,,234.0,2004.0,2018.0,13721.0,14847.0,109,18883.0,127471.0,yes,86.0,,121.0,0.0,8.0,2.0,1.0,0.0,3.0,38.0,7.0,2.0,6.0,8.0,24.0,7.0,0.0
Camelia,no,no,no,Government of Algeria,no,MUJAO,,1161.0,2012.0,2013.0,386.0,11984.0,109,18883.0,358.0,yes,87.0,,38.0,0.0,5.0,1.0,8.0,0.0,2.0,7.0,6.0,4.0,0.0,0.0,0.0,3.0,0.0
